;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;Group (datasets of the same group are similar*);Project;Title (with Hyperlink);Description (in brief);Metadata URLs;Methodology (URL to methodology descriptions);Methodology (brief description);Accuracy;Completeness;Level;Spatial Granularity;Identifier;Identifier Type;Creator;Object;Publisher;Publication Date;Publication Year;Temporal Granularity;Time references (time data refers);URLs;Content (keywords);Origin;Geographical extension;Projection system;Access conditions;License;Terms of use;Availability;Resource type;Data format;Size of file (raw, compressed in parentheses);Other relevant information
15;D;N;Copernicus: hourly global climate and weather data;Data containing single-level climate and weather data (subset of the ERA5 reanalysis dataset).;https://cds.climate.copernicus.eu/cdsapp#!/dataset/sis-european-energy-sector?tab=overview;https://cds.climate.copernicus.eu/cdsapp#!/dataset/sis-european-energy-sector?tab=overview;/;/;/;Worldwide;0.25°x0.25°;https://doi.org/10.24381/cds.adbb2d47;Digital Object Identifier (DOI);Hersbach, H., Bell, B., Berrisford, P., Biavati, G., Horányi, A., Muñoz Sabater, J., Nicolas, J., Peubey, C., Radu, R., Rozum, I., Schepers, D., Simmons, A., Soci, C., Dee, D., Thépaut, J-N.;ERA5 hourly data on single levels from 1979 to present;Copernicus Climate Change Service;14.06.2018;2018;Hourly;1979-2021;https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels;Wind speed - precipitation - solar irradiance - air temperature;European Centre for Medium-Range Weather Forecasts (ECMWF) ERA5 reanalysis data;Worldwide;EPSG:4236;Open - download;Copernicus License Agreement;/;Available on the web (login required);Dataset;GRIB file or NetCDF file;Varies by selection;Free account required. For further information on use of dataset please visit https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf
16;A;N;EMHIRES: Wind power generation;High resolution renewable energy generation time series data of wind power capacity factors at NUTS 2 level.;/;https://publications.jrc.ec.europa.eu/repository/bitstream/JRC103442/jrcreport_20161108_lastversion.pdf;Total Full Load Hours (FLH) were calculated using the ratio between the sums of the energy produced (GWh) and the maximum possible generation (installed capacity(GW)*8760h (GWh)) per country. For further information, see the methodology documentation.;As opposed to the IRENA dataset, Renewable.ninja dataset, and the Global Wind Atlas, EMHIRES takes into account wind farm specific power curves for each location which increases its accuracy versus the other datasets.;Certain datasets from which this dataset was derived contained missing values, which were either completed with gap filling or certain datapoints were removed to create a complete dataset. ;EU27 + UK plus Iceland, Balkans countries;NUTS2;10.2790/831549;Digital Object Identifier (DOI);"GONZALEZ APARICIO Iratxe; ZUCKER Andreas; CARERI Francesco; MONFORTI Fabio; HULD Thomas; BADGER Jake (Joint Research Centre)";30 years of wind power capacity factors at NUTS 2 level;Joint Research Centre;2019;2019;Hourly;1986-2015;https://setis.ec.europa.eu/EMHIRES-datasets;Wind power - renewable energy;Eurostat;EU27 + UK, Iceland, Balkan countries;n/a;Open - download;/;/;Available on the web;Dataset;Microsoft Excel (XLSX) file;536 MB (535 MB);/
17;A;N;EMHIRES: Solar power generation;High resolution renewable energy generation time series data of solar power capacity factors at NUTS 2 level.;/;https://publications.jrc.ec.europa.eu/repository/bitstream/JRC106897/emhirespv_gonzalezaparicioetal2017_newtemplate_corrected_last.pdf;Capacity factors were calculated from the ratio between the sums of the energy produced (GWh) and the maximum possible generation (installed capacity (GW)*8760) per country. For further information, see the methodology documentation.;The validation of EMHIRES against power system statistics and time series published by Transmission System Operators shows a very good performance over the countries analysed. EMHIRES is able to capture the variability of solar energy, the seasonality and diurnal cycles and also the peaks and ramps. There is a general slight overestimation of the simulations due to the uncertainties accumulated in the theoretical process of the conversion of radiation into generation. ;Missing data from derived datasets (i.e. CM-SAF SARAH) were reconstructed to create a complete dataset.;EU27 + UK;NUTS2;10.2760/044693;Digital Object Identifier (DOI);GONZALEZ-APARICIO Iratxe, HULD Thomas, CARERI Francesco, MONFORTI Fabio, ZUCKER Andreas (Joint Research Centre);30 years of hourly solar power capacity factors at NUTS 2 level;Joint Research Centre;2019;2019;Hourly;1986-2015;https://setis.ec.europa.eu/EMHIRES-datasets;Solar power - renewable energy;Eurostat;EU27 + UK;n/a;Open - download;/;/;Available on the web;Dataset;Microsoft Excel (XLSX) file;410 MB (360 MB);/
19;D;N;EDGAR CO? emissions;Timeseries 1970–2018 of CO? emissions by country and sector (Buildings, Power Industry, Transport, Other industrial combustion, Other sectors) in Mt CO?/year.;/;https://op.europa.eu/en/publication-detail/-/publication/9d09ccd1-e0dd-11e9-9c4e-01aa75ed71a1/language-en;In EDGAR, emissions per country and compound are calculated on an annual basis and sector wise by multiplying the country-specific activity and technology mix data by country-specific emission factors and reduction factors for installed abatement system for each sector. For further information, see the methodology documentation.;/;/;Worldwide;NUTS0;https://doi.org/10.2760/687800;Digital Object Identifier (DOI);Crippa, M., Oreggioni, G., Guizzardi, D., Muntean, M., Schaaf, E., Lo Vullo, E., Solazzo, E., Monforti-Ferrario, F., Olivier, J.G.J., Vignati, E. (Joint Research Centre);Data Package with EDGAR CO? emissions;Joint Research Centre;26.09.2019;2019;Annual;1970-2018;https://github.com/openclimatedata/edgar-co2-emissions;CO? emissions;Joint Research Centre (European Commission);Worldwide;n/a;Open - download;/;/;Available on the web;Dataset;Text (TXT) file;2.29 MB;/
20;D;N;Copernicus: hourly data on pressure levels;Data containing pressure levels data (subset of the ERA5 reanalysis dataset).;https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-pressure-levels?tab=overview;https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-pressure-levels?tab=overview;/;/;/;Worldwide;0.25°x0.25°;https://doi.org/10.24381/cds.bd0915c6;Digital Object Identifier (DOI);Hersbach, H., Bell, B., Berrisford, P., Biavati, G., Horányi, A., Muñoz Sabater, J., Nicolas, J., Peubey, C., Radu, R., Rozum, I., Schepers, D., Simmons, A., Soci, C., Dee, D., Thépaut, J-N.;ERA5 hourly data on pressure levels from 1979 to present;Copernicus Climate Change Service;14.06.2018;2018;Hourly;1979-2021;https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-pressure-levels;Air pressure - relative humidity;European Centre for Medium-Range Weather Forecasts (ECMWF) ERA5 reanalysis data;Worldwide;EPSG:4236;Open - download;Copernicus License Agreement;/;Available on the web (login required);Dataset;GRIB file or NetCDF file;Varies by selection;Free account required. For further information on use of dataset please visit https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf
21;D;N;European Digital Elevation Model (EU-DEM);The EU Digital Elevation Model (EU-DEM) combines data from different sources into a single consistent and homogeneous elevation dataset.;https://land.copernicus.eu/imagery-in-situ/eu-dem/eu-dem-v1.1?tab=metadata;/;/;/;/;Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kosovo, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, United Kingdom;1000 x 1000 km / 25 m resolution ;http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1.1/view;Uniform Resource Locator (URL);European Environment Agency;EU-DEM v1.1;Copernicus Climate Change Service;20.04.2016;2016;Non-longitudinal;2011;https://land.copernicus.eu/imagery-in-situ/eu-dem/eu-dem-v1.1?tab=download;Digital elevation model;Copernicus programme;Bounding box: West = -54.925613, East = 93.178583, North = 71.899220, South = -21.567515;EPSG:3035;Open - download;/;/;Available on the web;Dataset;GEOTIFF file;47.0 GB (47.0 GB);https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32013R1159
24;A;N;Photovoltaic power potential;Photovoltaic power potential for Europe.;https://energydata.info/dataset/world-solar-irradiation-and-pv-power-potential-map;https://globalsolaratlas.info/support/methodology;"The location-specific information provided by the Atlas involves three main different models: Solar radiation model; Air temperature model; PV power simulation model. Solar radiation and air temperature modeling result in a series of pre-calculated data layers that can be retrieved at (almost) any location on the map. Additional information about a possible PV system type and configuration are used for the PV power simulation, which is calculated on-demand using Solargis internal algorithms and databases. For further information, see the methodology documentation.";"""In most situations the expected uncertainty for annual values will be within ±4% for Global Horizontal Irradiance (GHI) values and ±9% for Direct Normal Irradiance (DNI) values for most of Europe and North America (approx. below 50°N) and Japan.""";"""Missing records are very rare in the modern satellite and model data inputs. Intelligent gapfilling algorithms are used for gap filling. Historical satellite missions show higher percentage of missing or incorrect data records.""";Worldwide;250 m resolution;https://globalsolaratlas.info/download/europe-and-central-asia;Uniform Resource Locator (URL);"Betak, Juraj; Caltik, Marek; Cebecauer, Tomas; Chrkavy, Daniel; Erdelyi, Branislav; Rosina, Konstantin; Suri, Marcel; Suriova, Nada";Global Solar Atlas;The World Bank Group and Solargis;23.10.2019;2019;Annual;1999-2018;https://globalsolaratlas.info/download/europe-and-central-asia;Photovoltaic power density;Global Solar Atlas;Worldwide;EPSG:4326;Open - download;Creative Commons Attribution 4.0 International;/;Available on the web;Dataset;GEOTIFF, AAIGRID, or KML/KMZ file;3.47 GB (3.44 GB);https://globalsolaratlas.info/support/terms-of-use
25;A;N;Wind power density;Wind power density by height for Europe.;/;https://map.neweuropeanwindatlas.eu/about;/;Averaged Normalised Mean Biased Error[%] of Weather, Research and Forecasting (WRF) model experiments on long-term mean wind speed at four sites: 2%-15%;Complete satellite data coverage for Europe;EU27 + UK plus Turkey;20-30 m resolution;https://map.neweuropeanwindatlas.eu/;Uniform Resource Locator (URL);European Commission and 9 national funding agencies;New European Wind Atlas;New European Wind Atlas;2019;2019;Annual;2009-2018;https://map.neweuropeanwindatlas.eu/;Wind power density;New European Wind Atlas project from European Commission and 9 national funding agencies;EU27 + UK, Turkey, and 100 km offshore as well as the complete North and Baltic Seas;n/a;Open - download;/;/;Available on the web;Dataset;NetCDF file;340 MB;/
26;A;Y (Solar District Heating);SDH: Large Scale Solar Heating Plants;This dataset contains a list of large scale solar heating plants located in Europe and with a nominal capacity higher than 700 kWh.;/;/;/;/;Dataset has no blank/missing values;Austria, Bosnia and Herzegovina, Denmark, Finland, France, Germany, Italy, Greece, Montenegro, Netherlands, Norway, Poland, Portugal, Spain, Sweden, Switzerland, Turkey;/;https://www.solar-district-heating.eu/en/plant-database/;Uniform Resource Locator (URL);The European Large-scale Solar Heating Network, Working Group 2E of the European Solar Thermal Technology Platform and the IEE Solar District Heating in Europe project;Ranking List of European Large Scale Solar Heating Plants;The European Large-scale Solar Heating Network;2017;2017;Non-longitudinal;1985-2017;https://www.solar-district-heating.eu/en/plant-database/;Solar heating - power plants;European Large-scale Solar Heating Network, Working Group 2E of the European Solar Thermal Technology Platform and the IEE Solar District Heating;Austria, Bosnia and Herzegovina, Denmark, Finland, France, Germany, Italy, Greece, Montenegro, Netherlands, Norway, Poland, Portugal, Spain, Sweden, Switzerland, Turkey;n/a;Open - download;/;/;Available on the web;Dataset;Microsoft Excel (XLSX) file;106 KB;/
27;A;Y (S2Biom);S2BIOM: Biomass supply;Estimated supply of biomass resources in Europe.;/;http://s2biom.alterra.wur.nl/web/guest/biomass-cost#_48_INSTANCE_bNEOGMUfuY37_%253Dhttp%25253A%25252F%25252Fs2biom.alterra.wur.nl%25252Fbiomasscostsupplyviewer%25252Findex.html%25253Fmode%25253Dcost%252526%3D%26_48_INSTANCE_bNEOGMUfuY37_%3Dhttp%253A%252F%252Fs2biom.alterra.wur.nl%252Fbiomasscostsupplyviewer%252Fhttp%253A%252F%252Fs2biom.alterra.wur.nl%252Fbiomasscostsupplyviewer%252Findex.html%253Fmode%253Dcost%2526;/;/;/;EU27 + UK;NUTS3;https://s2biom.wenr.wur.nl/web/guest/data-downloads;Uniform Resource Locator (URL);S2Biom project consortium;Production from forests;S2BIOM;2017;2017;Non-longitudinal;2012;https://s2biom.wenr.wur.nl/web/guest/data-downloads;Biomass chain data  -Biomass cost-supply;S2BIOM project;EU27 + UK;n/a;Open - download;/;/;Available on the web;Dataset;Microsoft Excel (XLSX) file;15.1 MB;HTTP Status 404 - /biomasscostsupplyviewer/http://s2biom.alterra.wur.nl/biomasscostsupplyviewer/index.html
