customer_id,meter_id,time_rounded,energy_heat_kwh,volume_flow_m3,inlet_flow_energy_m3xC,back_flow_energy_m3xC
772,660,2018-01-02T23:00:00Z,5347.61445783133,113.991325301205,8246.42168674699,3528.80722891566
772,660,2018-01-03T00:00:00Z,5350.73684210526,114.054736842105,8250.64912280702,3530.82456140351
772,660,2018-01-03T01:00:00Z,5353.58904109589,114.117808219178,8255.38356164384,3532.79452054795
772,660,2018-01-03T02:00:00Z,5356.72727272727,114.174545454545,8259.9696969697,3534.24242424242
772,660,2018-01-03T03:00:00Z,5359.51282051282,114.230256410256,8263.76923076923,3535.38461538462
772,660,2018-01-03T04:00:00Z,5362.58974358974,114.291794871795,8268.38461538462,3537.69230769231
772,660,2018-01-03T05:00:00Z,5365.51685393259,114.350337078652,8272.12359550562,3538.91011235955
772,660,2018-01-03T06:00:00Z,5368.88764044944,114.417752808989,8276.84269662921,3540.93258426966
772,660,2018-01-03T07:00:00Z,5372.20338983051,114.47406779661,8281.27118644068,3542.13559322034
772,660,2018-01-03T08:00:00Z,5375.34482758621,114.536034482759,8285.51724137931,3544.1724137931
772,660,2018-01-03T09:00:00Z,5379.53846153846,114.611846153846,8291.86153846154,3546.32307692308
772,660,2018-01-03T10:00:00Z,5384.06896551724,114.711379310345,8299.10344827586,3549.03448275862
772,660,2018-01-03T11:00:00Z,5386.38888888889,114.758333333333,8302.61111111111,3550.27777777778
772,660,2018-01-03T12:00:00Z,5392.22222222222,114.883333333333,8311.77777777778,3554.44444444444
772,660,2018-01-03T13:00:00Z,5396.30120481928,114.968192771084,8317.95180722892,3557.86746987952
772,660,2018-01-03T14:00:00Z,5400.63855421687,115.062168674699,8324.4578313253,3560.75903614458
772,660,2018-01-03T15:00:00Z,5403.08823529412,115.141911764706,8331.13235294118,3564.05882352941
772,660,2018-01-03T16:00:00Z,5408.38235294118,115.256617647059,8339.07352941176,3567.58823529412
772,660,2018-01-03T17:00:00Z,5412.47540983607,115.339508196721,8345.2131147541,3570.60655737705
772,660,2018-01-03T18:00:00Z,5417,115.44,8353,3574
772,660,2018-01-03T19:00:00Z,5421.54545454546,115.54,8360.27272727273,3577.63636363636
772,660,2018-01-03T20:00:00Z,5424.7,115.613,8365.5,3579.8
772,660,2018-01-03T21:00:00Z,5429.09375,115.7125,8373.15625,3583.09375
772,660,2018-01-03T22:00:00Z,5431.90625,115.7875,8377.84375,3585.90625
772,660,2018-01-03T23:00:00Z,5435.74193548387,115.855483870968,8383.61290322581,3588.8064516129
772,660,2018-01-04T00:00:00Z,5439.86206896552,115.956551724138,8390.75862068966,3591.89655172414
772,660,2018-01-04T01:00:00Z,5443.37931034483,116.029885057471,8396.29885057471,3594.14942528736
772,660,2018-01-04T02:00:00Z,5447.51724137931,116.119540229885,8403.19540229885,3597.59770114943
772,660,2018-01-04T03:00:00Z,5450.65,116.200666666667,8408.41666666667,3600.65
772,660,2018-01-04T04:00:00Z,5453.65,116.271833333333,8414.3,3602.76666666667
772,660,2018-01-04T05:00:00Z,5458,116.36,8421,3606
772,660,2018-01-04T06:00:00Z,5460.64705882353,116.430588235294,8425.41176470588,3608.64705882353
772,660,2018-01-04T07:00:00Z,5464.74825174825,116.518461538462,8431.97202797203,3611.3986013986
772,660,2018-01-04T08:00:00Z,5468.93558589404,116.610547235355,8439.08099701224,3614.74467749941
772,660,2018-01-04T09:00:00Z,5473.16666666667,116.703333333333,8446.26666666667,3618.13333333333
772,660,2018-01-04T10:00:00Z,5478.09756097561,116.80243902439,8454.14634146342,3622.04878048781
772,660,2018-01-04T11:00:00Z,5481.21739130435,116.877391304348,8459.4347826087,3624.21739130435
772,660,2018-01-04T12:00:00Z,5485.02857142857,116.962285714286,8466.54285714286,3627.68571428571
772,660,2018-01-04T13:00:00Z,5490.10714285714,117.0725,8474.17857142857,3631.10714285714
772,660,2018-01-04T14:00:00Z,5493.53571428572,117.151785714286,8479.96428571429,3634.42857142857
772,660,2018-01-04T15:00:00Z,5498.53333333333,117.263333333333,8488.93333333333,3638.4
772,660,2018-01-04T16:00:00Z,5501.73333333333,117.343333333333,8494.53333333333,3640.8
772,660,2018-01-04T17:00:00Z,5507.40983606557,117.458196721311,8503.11475409836,3645.50819672131
772,660,2018-01-04T18:00:00Z,5511,117.546666666667,8509.33333333333,3647.66666666667
772,660,2018-01-04T19:00:00Z,5515.33802816902,117.649014084507,8516.67605633803,3651.33802816901
772,660,2018-01-04T20:00:00Z,5517.87323943662,117.71661971831,8521.74647887324,3653.87323943662
772,660,2018-01-04T21:00:00Z,5522.67213114754,117.822786885246,8529.47540983607,3657.73770491803
772,660,2018-01-04T22:00:00Z,5524.86666666667,117.886,8533.73333333333,3659.86666666667
772,660,2018-01-04T23:00:00Z,5529.16901408451,117.993802816901,8541.29577464789,3664.12676056338
772,660,2018-01-05T00:00:00Z,5532.54929577465,118.06985915493,8547.21126760563,3666.66197183099
772,660,2018-01-05T01:00:00Z,5534.92592592593,118.137777777778,8551.85185185185,3668.92592592593
772,660,2018-01-05T02:00:00Z,5539.67741935484,118.233548387097,8559.48387096774,3672.74193548387
772,660,2018-01-05T03:00:00Z,5542.75409836066,118.304262295082,8564.59016393443,3674.83606557377
772,660,2018-01-05T04:00:00Z,5547.27397260274,118.406164383562,8571.4794520548,3678.20547945206
772,660,2018-01-05T05:00:00Z,5550.56164383562,118.480136986301,8577.23287671233,3680.67123287671
772,660,2018-01-05T06:00:00Z,5554.58620689655,118.561724137931,8583.37931034483,3683.68965517241
